31-03-2026 19:46:57 | GET | cafeteria-api/produtos
31-03-2026 19:47:06 | GET | cafeteria-api/produtos
31-03-2026 19:47:12 | GET | cafeteria-api/produtos
31-03-2026 19:47:13 | GET | cafeteria-api/produtos
31-03-2026 19:47:21 | GET | cafeteria-api/produtos
31-03-2026 19:47:26 | GET | cafeteria-api/produtos
31-03-2026 19:48:13 | GET | cafeteria-api/produtos
31-03-2026 19:48:20 | GET | cafeteria-api/produtos
31-03-2026 19:48:25 | GET | cafeteria-api/produtos
31-03-2026 19:48:40 | GET | cafeteria-api/produtos
31-03-2026 19:48:41 | GET | cafeteria-api/produtos
31-03-2026 19:48:49 | GET | cafeteria-api/produtos
31-03-2026 19:48:55 | GET | cafeteria-api/produtos
31-03-2026 19:48:56 | GET | cafeteria-api/produtos
31-03-2026 19:49:01 | GET | cafeteria-api/produtos
31-03-2026 19:49:18 | POST | cafeteria-api/produtos
31-03-2026 19:50:03 | OPTIONS | cafeteria-api/produtos/4
31-03-2026 19:50:03 | DELETE | cafeteria-api/produtos/4
31-03-2026 19:50:03 | GET | cafeteria-api/produtos
31-03-2026 19:50:58 | POST | cafeteria-api/produtos
31-03-2026 19:51:04 | POST | cafeteria-api/produtos
31-03-2026 19:52:20 | POST | cafeteria-api/produtos
31-03-2026 19:52:38 | POST | cafeteria-api/produtos
31-03-2026 19:52:41 | POST | cafeteria-api/produtos
31-03-2026 19:57:45 | POST | cafeteria-api/produtos
31-03-2026 20:04:43 | GET | cafeteria-api/produtos
31-03-2026 20:04:45 | GET | cafeteria-api/produtos
31-03-2026 20:04:46 | GET | cafeteria-api/produtos
31-03-2026 20:06:26 | GET | cafeteria-api/produtos
31-03-2026 20:07:19 | GET | cafeteria-api/produtos
31-03-2026 20:07:33 | GET | cafeteria-api/produtos
31-03-2026 20:08:10 | GET | cafeteria-api/produtos
31-03-2026 20:08:37 | POST | cafeteria-api/produtos
31-03-2026 20:08:37 | GET | cafeteria-api/produtos
31-03-2026 20:08:55 | OPTIONS | cafeteria-api/produtos/12
31-03-2026 20:08:55 | DELETE | cafeteria-api/produtos/12
31-03-2026 20:08:55 | GET | cafeteria-api/produtos
